date,month,bank,rating,cleaned_review,sentiment_score,sentiment
2020-03-19,2020-03,SBI,4.0,sbi has best internet banking and its very fast and easy to access any one i am using this savings account more than years if i withdrawal cash more than time no charges mostly i am not taking cash at atm i am doing more transcation so no need to maintain minimum balance and getting immediate response from customer service bank employees attitude must be change,0.3477,Positive
2020-03-19,2020-03,review,4.0,yes bank service is good i have been holding saving account for more than years but past two years i am not using this account because i forget net banking details if i contact the customer care there is no response so stop using this account itself atm and branches services are good i use to get alert message on time,0.7477,Positive
2020-03-19,2020-03,Axis Bank,4.5,i am holding a salary account with axis bank past years i got an immediate alert message on time i am using mobile app and net banking both are user friendly to access i need to pay rupees around for sms charge and account service on yearly basis,0.6124,Positive
2020-03-19,2020-03,SBI,4.0,i am using saving account from sbi almost years minimum amount need to maintain of k on monthly basis i get only otp number on time but once the amount debited or credited i wont get any message from their end i am using net banking and it is good to access there is some charge of rupees on yearly need to pay,0.7684,Positive
2020-03-19,2020-03,review,3.0,since years i am using oriental bank savings account and this branch is located very far atm service is near and i am keeping minimum balance of rs customer service and this bank app is really good instantly i am getting messages from bank,0.4927,Positive
2020-03-19,2020-03,HDFC Bank,4.0,i have hdfc bank salary account for the past to years i am using mobile banking service is used for all transactions and money transfer if contact customer service for any query then wil be getting good response i am satisfied with the overall banking service,0.6908,Positive
2020-03-19,2020-03,SBI,5.0,i maintain salary cum saving account with sbi on my company has suggested to opened an account need to maintain a minimum balance of k there is no hidden charge on quarter basis sms charge is applicable of rupees atm charges are applicable if i cross more than times in a month of rupees,-0.5106,Negative
2020-03-19,2020-03,review,5.0,standard chartered bank has a very good app and i am using this account more than years this is a salary comes savings account so need to maintain minimum balance and the customer service is very very good i am continuously getting offer messages from bank,0.7496,Positive
2020-03-18,2020-03,IndusInd Bank,4.0,i maintain a saving account with indusind for the past year i no need to maintain a minimum balance account since my friend is working as a executive and he has recommend to open an account with them hence i chosen it i use this account for the transaction i use to get offers message from their end,0.5423,Positive
2020-03-18,2020-03,Axis Bank,4.5,axis has given an option to maintain a account with them and i am holding for past years on yearly basis charge is applicable of to rupees and it will be reflecting in statement as well atm and branch services are good whenever they provide offers i use to get by message,0.6124,Positive
2020-03-18,2020-03,SBI,4.0,since years i am using this sbi account which am very convenient i received an offer for a zero balance account and the atm facilities are near the customer service was good even the responses are proper at the branch and am okay with the interest rate too,0.7783,Positive
2020-03-18,2020-03,HDFC Bank,4.0,i am holding salary account with hdfc bank for the past months since its this a salary account no need to maintain a minimum balance amount i am not using atm since i have paytm service and mobile app which are quite easy to access when ever i log into it am getting a blank screen that need to be changed the customer service is good and responding properly,0.5984,Positive
2020-03-18,2020-03,Kotak,5.0,i have opened my savings account from kotak mahindra bank more than years and am making all transaction through this bank account they have provided me a zero balance account i can find their branchs in all the places they are not taking any kind of hidden charges,-0.2732,Negative
2020-03-18,2020-03,HDFC Bank,5.0,my salary account is maintained with hdfc bank for nearly years and till now there was no issues its a friendly bank according to my experience i am using the online service which is very good their customer service was good but fixed deposit interest rates was less,0.8268,Positive
2020-03-18,2020-03,SBI,3.0,i have been using saving account with sbi for the past years i have visited the branch to open an account but their service is not much satisfied i need to maintain a minimum balance of k on monthly basis if not charges are applicable which is high there is some hidden charge they use to detect some amount on quarterly,-0.1967,Negative
2020-03-18,2020-03,review,5.0,i am doing all my transactions with indian bank and this branch is near to my residence i am keeping minimum balance of rs and i have not faced any issues till now indian bank has a very good customer service and this savings account has a normal rate of interest,0.7346,Positive
2020-03-18,2020-03,SBI,4.0,i am maintaining my savings account with sbi i have been using more than years this is only savings account so i need to maintain minimum balance of rs for cash withdrawal shopping i am receiving alert message and this bank has a very good app i didnt interact with the customer service till date rest all good with this bank,0.8265,Positive
2020-03-18,2020-03,HDFC Bank,5.0,i use to get my salary from hdfc bank because my company has given an option only from this bank i am using this account past years so far i havent faced any additional or hidden charge no need to maintain a minimum balance account atm charges are applicable if i done a transactions more than times in a month i would suggest to provide more product offer,-0.5106,Negative
2020-03-17,2020-03,Kotak,4.0,i maintain my savings account with kotak bank for more than years there is no hidden charges in this bank when i visit online at that time i came to know this bank has offered a zero balance account so i chosen it i am not getting any offers message from bank end,-0.5106,Negative
2020-03-17,2020-03,review,4.0,i am holding a saving account with indian bank for more than years for my personal need i had opened an account with this bank but the branch is not near to reach them i need to maintain a minimum balance of rupees i use to get an alert messages from bank whenever i do a transactions but not getting any offer message,0.3997,Positive
2020-03-17,2020-03,review,4.0,my company has given an option to open a salary account with standard chartered bank and i maintain this account just months it is a zero balance account i am using mobile app and it is user friendly to access branches are bit far away from my place to reach them i am not getting any offers message,0.5106,Positive
2020-03-17,2020-03,SBI,4.0,past years i maintain my saving account with sbi the branch and atm services are fine whenever contact the customer service is good and responsive i use to get offer message from their end so far there is no any hidden charge in this account though its saving account i no need to maintain a minimum balance amount,0.4215,Positive
2020-03-17,2020-03,review,4.5,i am holding a salary account from bank of baroda more than years there is no hidden charges in this bank they have not provide an option to maintain a minimum balance i am using mobile app and net banking both are user friendly to access atm and branch services are good also near to reach them directly,0.4404,Positive
2020-03-17,2020-03,Canara Bank,3.0,i am not getting an alert message from canara bank whenever i do a transaction from their end so they need to provide better option to the customer to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past years,0.601,Positive
2020-03-17,2020-03,HDFC Bank,5.0,i maintain my salary cum saving account with hdfc bank for more than a year no need to maintain a minimum balance account so far there is no any hidden charges i can do transaction upto k i use mobile app and net banking service both are good on time i get alert message from bank for each transaction,-0.2329,Negative
2020-03-16,2020-03,review,4.0,i am using karur vysya bank saving account for the past years onlyi will receive email as well as message alert and customer service is also good on this bank if i contact them for any query giving good response and banking service is much comfortable i am happy with the service as well,0.9618,Positive
2020-03-16,2020-03,Canara Bank,4.0,canara bank has a very good app and also internet banking is very user friendly this is a salary cums savings no need to maintain a minimum balance if i withdrawal cash or done shopping i am getting alert messages from bank end and they given me a domestic debit card,0.7764,Positive
2020-03-16,2020-03,Axis Bank,5.0,i am maintaining minimum balance of rs gst for axis bank savings account and debit card since years i am holding this account apart from this there is no hidden charges this bank has a good customer service and the rate of interest was nominal,0.3818,Positive
2020-03-16,2020-03,review,4.0,i am keeping minimum balance of rs for united bank of india since years i am using this savings account and they given a domestic debit card this bank has a good application and their service was fine atm facilities is not good which is not nearby my place,0.8555,Positive
2020-03-16,2020-03,review,4.0,last years i have been using the salary account from yes bank and its a hassle free account to use they are not taking any hidden charges once i called the customer care for the debit card purpose and the response was good there is no extra charges for fund transfer like imps and neft their mobile banking service need to be improved,0.9062,Positive
2020-03-16,2020-03,review,5.0,for cash withdrawal i am getting instantly alert messages from indian bank some times due to software problem i am unable to get messages since years i am using this account so no need to maintain minimum balance atm facilities are near and debit card charges are applicable,-0.656,Negative
2020-03-16,2020-03,SBI,5.0,sbi has a very good application since i am using this savings account more than years no need to maintain minimum balance because this is a salary comes savings account for cash withdrawal and all i am getting instantly alert text i am not getting any offer message from bank and their service was good,0.7369,Positive
2020-03-16,2020-03,review,5.0,i have opened the savings account from tnsc bank because its undertaken by state government i need to maintain a minimum balance of rs i have never applied the facility of mobile app and net banking bank response is good they have taken almost days to sent the debit card and cheque book to my residential address,0.4404,Positive
2020-03-16,2020-03,review,5.0,years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account i dont need to maintain any minimum balance its best bank but branches are not available like other banks anyway i dont feel its big issue because all the facilities are available on their app and net banking,-0.0168,Neutral
2020-03-16,2020-03,HDFC Bank,5.0,more than years i have been using the salary account from hdfc bank i went to their branch for cash deposit or withdrawal and the response is good its a zero balance maintenance account their internet banking facility and mobile app is user friendly they dont charge me any hidden charges there is charge of rs for imps transactions,0.6249,Positive
2020-03-16,2020-03,review,4.0,for the past months i have been using salary account with andhra bank and its been very good experience they are giving interest rate for savings account and its okay im not using using mobile banking for checking balance and to do transactions their app is easy to access,0.908,Positive
2020-03-15,2020-03,review,5.0,i am using syndicate bank salary account for the past years with the net banking service as well as mobile banking these are good and i used to transfer money and also transaction history can be checked banking service is pretty good and customer service is also giving me good response if i contact them for any assistance,0.9371,Positive
2020-03-15,2020-03,review,4.0,from indian bank i am using savings account more than months this is salary comes savings and its a zero balance account but i am maintaining rs this bank has a good app atm service are available near to my residency and their service was good,0.8271,Positive
2020-03-15,2020-03,SBI,5.0,i have been holding an account for a saving with sbi for more than years there is no hidden charges in this bank it is a zero balance account i am not using mobile app and net banking and i am not getting an alert messages from bank whenever i do a transactions atms and branches are near to reach them directly,-0.6234,Negative
2020-03-15,2020-03,review,3.0,i have been with standard chartered bank for past years i have called the customer care to get the statements but it was not on time they have provided after to days there is no annual fee for debit card i use the online services which are okay would suggest them to improve the application and also its difficult to update the home address via online and couldnt apply for a new debit card they need to improve these things,0.7269,Positive
2020-03-15,2020-03,Axis Bank,5.0,i am holding a savings with axis bank quite for a long time there is no hidden charges in this bank i am maintaining rs k minimum balance account i am using mobile app and internet banking and it is user friendly to access atm and branches are near,-0.0258,Neutral
2020-03-15,2020-03,HDFC Bank,5.0,since years i am using hdfc bank savings account this is a salary cums savings so no need to maintain minimum balance and this bank has a good app and user friendly atm facility is near and their service was good when ever i do shopping i am getting instantly alert messages,0.8092,Positive
2020-03-15,2020-03,HDFC Bank,5.0,i am using hdfc bank salary account for the past years and the net banking mobile banking service is good which i used to check all transactions details banking service is also comfortable and good each transaction is safe and using this account much frequently,0.9001,Positive
2020-03-15,2020-03,HDFC Bank,4.5,hdfc bank i am maintaining savings account this is a salary cums savings so no need to maintain minimum balance this bank has a good app is and its fine to use when ever i withdrawal cash i am getting alert message instantly atm service is very near,0.4825,Positive
2020-03-14,2020-03,Citibank,5.0,taken my savings account from citi bank and i am using this account more than years the branch is available near to my home i am using their online banking facility and its very good to use they are not deducting any hidden charges and i need to maintain a minimum balance of rs l compulsory need to decrease that,0.2716,Positive
2020-03-14,2020-03,review,5.0,i have opened my savings account in andhra bank years ago my experience is very good and i like the customer support other things are also good i need to maintain a minimum balance of if not they will not cover accidental and term insurance i took international debit card,0.9016,Positive
2020-03-14,2020-03,Axis Bank,3.0,i am doing all my transactions through axis bank its been years am using this savings account am keeping minimum balance on a monthly basis rsk if not they putting lots of charges the branch is near by to my residence once i went to the bank to link my aadhar card,-0.2732,Negative
2020-03-14,2020-03,Axis Bank,5.0,my savings account is maintained with axis bank and this is a salary cum savings no need to maintain minimum balance axis bank has a very good application but i am using it with other bank because this is only salary accountthis bank has a good customer service,0.699,Positive
2020-03-14,2020-03,review,4.0,from syndicate bank i am using savings account more than years i am keeping minimum balance of rs and their service was good i am not receiving any offer messages from bank but i received calls several times for loan offer atm is near but facility is not good which needs to be improved,0.8735,Positive
2020-03-14,2020-03,review,5.0,since years i am using savings account from uco bank this bank app is very good and their customer service was also good i am maintaining minimum balance of rs for cheque book account and atm facility is available in walkable distance from home within minutes i can reach when ever i withdraw cash from atm instantly getting alert messages,0.8265,Positive
2020-03-13,2020-03,review,5.0,almost years i am using indian bank savings account because it was recommended and opened this account when i was in young age they are handling the customer very well i need hold a minimum balance of rs their atm facility is available in all the places i have not faced any troubles from this account overall im satisfied with their services,0.8163,Positive
2020-03-13,2020-03,HDFC Bank,5.0,years before i have purchased the savings account from hdfc when my son bought a home loan they have given this account to me they will calculate a average balance once in months with the amount of rs sometimes i used to visit the branch for general enquiry but the branch was more crowded for most of the times,0.0,Neutral
2020-03-13,2020-03,review,5.0,my company is having their current account in indian overseas bank hence they have provided me a salary account also to all the employees i hold this account for almost years and its convenient for using the net banking facility frequently i used to visit their branch and the staffs are very supportive i am maintaining a minimum balance of rs,0.3597,Positive
2020-03-13,2020-03,HDFC Bank,5.0,long back i am using savings account from hdfc bank its a zero balance account since this salary cums savings when ever i withdrawal cash getting alert messages and this application was good hdfc bank has a good customer service and they responding properly,0.7964,Positive
2020-03-13,2020-03,HDFC Bank,3.0,years back i have opened the salary account from hdfc because i had my existing savings account with hdfc around years before after that i have converted into salary account i am maintaining a minimum balance of rs maximum atm withdrawal limit is rs they dont deduct any hidden charges,-0.25,Negative
2020-03-13,2020-03,Axis Bank,5.0,i am holding a savings with account with axis bank for more than years there is no hidden charges in this bank it is a zero balance account i am using mobile app and net banking it is user friendly to access atm and branches are near to my residence,-0.0258,Neutral
2020-03-13,2020-03,review,5.0,i am using vijaya bank savings account for more than years every day i can withdraw cash from atm upto rs and i will receive alert messages from the bank also i linked this account online like google pay and more for an easy payment i spoke to bank executive directly it was good,0.8542,Positive
2020-03-13,2020-03,review,5.0,in karur vysya bank they are not charging me any extra amount bank is in near to my house so i have chosen them i need to maintain a minimum balance of rs its very good to use the net banking and mobile app and i find all the option in that after completion of transaction from other atm they are charging rs for each transaction,0.4927,Positive
2020-03-13,2020-03,HDFC Bank,5.0,from hdfc bank i am maintaining minimum balance of rs i am using this savings account quite for a long time and this bank has good atm facilities when ever i do cash withdrawal instantly i am getting alert messages and they given international debit card,0.6369,Positive
2020-03-13,2020-03,review,5.0,more than years i have been using the salary account with indian overseas bank because the branch is located nearby my place they dont take any hidden charges i never experienced of their net banking facility and mobile app when i visited the branch response is prompt and the employees are helpful,0.1779,Positive
2020-03-12,2020-03,Axis Bank,0.5,axis bank has limited options in menu of customer support this means they do not welcome any other query apart from set menu their phone banking numbers are useless they doesnt provide any extra info or let us speak to customer support executive neither there is option to write a mail regarding our issuewe have to directly visit bank branch which is not always possible as the office time of the branch and our work time are same do they expect us to visit branch for every issues to get resolved aleast let us write about our issuethis is really disgusting and i wasted my time calling customer support and downloaded app for solution but there also they have limited options there are more issues we face such as non deduction auto debit of set payments on decided date where should we complain should we pay penalty for non payments on due date by bank and take off from our office to visit axis bank branch to report work not done by the bank,-0.9066,Negative
2020-03-12,2020-03,SBI,4.0,almost years back i went to the sbi branch and opened the savings account because they have a good credibility in the market earlier i need to hold a minimum balance of rs and now that has been not required its convenient to use the net banking and mobile app facility i find the atms even in remote areas,0.4404,Positive
2020-03-12,2020-03,Citibank,4.0,opened my salary account from citi bank before years i never had any hassles till now there is no criteria to maintain any minimum balance its good to use the net banking and mobile app facility only once i have visited their branch for signature verification and the response was good in the branch,0.5574,Positive
2020-03-12,2020-03,Axis Bank,5.0,i am holding a savings account in axis bank for more than years through online i opened an account there is no hidden charges in this bank it is a zero balance account atms and branches are near to reach them directly i am getting good offer message sms charge is applicable of rupees,-0.0772,Negative
2020-03-12,2020-03,review,5.0,i have been using salary account from syndicate bank i have been using this account for past years it is a zero balance account with no hidden charge i am not getting offers message on quarterly basis sms charge will be applicable of rupees i use to do transaction more than times so charge will be applicable of rupees,-0.296,Negative
2020-03-12,2020-03,SBI,2.0,i am holding a saving account with sbi bank for more than years there is no hidden charges in this bank it is user friendly to access mobile app need to maintain a minimum balance for this account of k i get an alert messages from bank whenever i do a transactions,0.2732,Positive
2020-03-12,2020-03,Axis Bank,2.0,i am having a salary account with axis bank for just months back there is no hidden charges in this bank it is a zero balance account i am using mobile app and it is user friendly to access i use this account only for transact the amount mostly do online transaction rather than atm,-0.0258,Neutral
2020-03-12,2020-03,review,4.0,i have karnataka bank saving account which i am using for years there will be message alert and there was no difficulties faced so far customer service is also good if have any query getting good response and banking service is good and satisfied each transaction is done very frequently,0.8519,Positive
2020-03-12,2020-03,Axis Bank,5.0,i have opened axis bank salary account last years ago i have to maintain a minimum balance of rs even though its salary account they dont take any hidden charges its comfortable to use the net banking and mobile app facility i have no idea about the other bank atm withdrawal charges,-0.25,Negative
2020-03-12,2020-03,HDFC Bank,5.0,i maintain my saving account from hdfc bank just months back since my friend has suggested and mean while in my future i am going to take home loan so opened an account need to maintain minimum charge of k which is nominal i am getting offers message from their end i get alert message on time from bank end for each transaction,0.6597,Positive
2020-03-12,2020-03,SBI,5.0,i have been holding a salary account with sbi approximately yeas i need to maintain a minimum balance of around k there is some sms and atm charges are applicable on quarterly up to rupees mobile app is fine to use atm and branches services are good,0.3818,Positive
2020-03-12,2020-03,Kotak,4.0,recently i have opened the savings account from kotak mahindra bank but i have not made any transaction from this account they have provided me a zero balance account to get a valid address proof i have opened this account i can find the branches in all the places they are not taking any kind of hidden charges,-0.3919,Negative
2020-03-12,2020-03,IndusInd Bank,5.0,at earlier in my previous company they have provided a salary account from indusind bank they dont take any charges for other atm withdrawal they dont deduct any hidden charges i have been using the mobile app of this bank and its better to use its a zero balance account to use,0.6836,Positive
2020-03-12,2020-03,review,3.0,during my college days i got a chance to open an account in allahabad bank hence i am holding an account for years need to maintain a minimum of k if not charges are nominal branches are far away to reach them from my place since i preferred online transaction rather than for atm,0.443,Positive
2020-03-12,2020-03,SBI,5.0,overall i have been using state bank account for more than years but for past year i have been using it as a salary account anyway i need to maintain a minimum balance of rs chosen this bank because when i was in native i opened this account because to do the deposit its a easy way because of the cash deposit machine and i can do most of my transactions through their app,0.5927,Positive
2020-03-12,2020-03,review,5.0,i am using bank of baroda salary account which is very comfortable i am using net banking mobile banking it is transaction history can be checked and can be used for money transfer it is good to use and very user friendly everything is good customer service is also good and not faced any drawbacks,0.941,Positive
2020-03-12,2020-03,Axis Bank,3.0,axis bank have a good customer care because they are interacting the customer in a polite way my friends referred me about this bank hence i chose this bank for my savings account its a zero balance account to use its nice to use the net banking facility overall im happy about the service,0.9403,Positive
2020-03-12,2020-03,review,4.0,i am using saving account from bank of maharashtra for the past years i have to maintain a minimum balance of k atm and branches services are good and easy to reach from my place sms will be get on quick for each transaction their service is good and supportive,0.875,Positive
2020-03-12,2020-03,review,3.0,i am holding my salary account with bank of baroda past years there is some hidden charges which the amount as deducted on annual fee above rupees atm and branches are near sms charges are applicable on annual of rupees the people are not supportable and not easy to reach them if i do a transaction more than times charges are applicable of rupees,-0.777,Negative
2020-03-12,2020-03,review,5.0,sometime they will deduct money from my account without mentioning the reason and they just its a services on my syndicate bank salary acccount i need to maintain a minimum balance of rs and above i cannot able to download the statement on their mobile app and they do have net banking facility which will not work most of the times,0.0,Neutral
2020-03-11,2020-03,SBI,4.0,i am using sbi salary account which is used very frequentlyi am using this account for the past years only i am using net banking as well as mobile banking service both are very user friendly and these are used for money transfer as well as credit card bill payment customer service is also good to me and there was no drawbacks faced so far,0.8744,Positive
2020-03-11,2020-03,review,5.0,i have hsbc bank salary account for more than yearstransaction is safe and secure and i am not using net banking and mobile banking i use this account for phone pay and google pay for online transactions the customer service is also good and getting good response the banking service is much comfortable,0.9118,Positive
2020-03-11,2020-03,review,5.0,i opened my salary account with standard chartered bank for almost years ago there is only branch available in pune hence i need to travel a lot for depositing the cash and other request atm facility also less in my city earlier they were not charging any additional for other atm withdrawal but now after completion of transaction from other atm they are charging rs for per transactions if they are improving the atm facility it would be fine they dont provide any offers to the customer,0.714,Positive
2020-03-11,2020-03,Canara Bank,4.0,i opened my savings account from canara bank and i have been using for last years chosen this account in my home town because the branch is located to nearby my place executive response was good and i need to hold a minimum balance of rs their app facility is convenient to use i could find branches and atm in all the places,0.4404,Positive
2020-03-11,2020-03,review,4.0,my company was offered me banks but i have chosen standard chartered bank and its a zero balance account to use there is no atm withdrawal charges even i do from other bank i have selected the same in net banking facility some features are not available like downloading the statement through pdf options,-0.7885,Negative
2020-03-11,2020-03,SBI,5.0,before years i have opened the salary account with state bank of india bank account is convenient to use they have given me a zero balance account i went to their branch for getting a passbook and to get a atm card as well and the response is okay we have a branch which is a cashless one so branch was not crowded,0.4588,Positive
2020-03-11,2020-03,Kotak,5.0,its going to be years since im using the savings account from kotak mahindra bank because i like their service and my salary also getting credited to this account im fine with the net banking and mobile app facility i just visited the branch once for changing my mobile number and their service is very good in their branch also,0.8516,Positive
2020-03-11,2020-03,SBI,5.0,when compared to earlier now sbi is providing good service i have been holding this account for more than years and which have opened for my personal use no need to maintain a minimum balance account the branch service is fine and near from my home to reach,0.3818,Positive
2020-03-11,2020-03,HDFC Bank,5.0,using my savings account with hdfc bank for almost years i am maintaining a minimum balance of rs which is mandatory even though its a salary account sometimes im facing a issue like they are charging me a high amount if im not maintaining the balance i can find the branches in all the places,0.4215,Positive
2020-03-10,2020-03,Canara Bank,5.0,canara bank before i was using as salary account but after shifting my company cannot use this account for further and i am yet to convert into saving account i am holding account for past years there is sms charge applicable of rupees which is nominal atm charge is rupees i am using both mobile app and net banking are user friendly to access,0.6486,Positive
2020-03-10,2020-03,HDFC Bank,5.0,i am holding salary account with hdfc past year since its salary account no need to maintain a minimum balance amount i can do transaction of times if exceed atm charges of rupees mobile app is not user friendly and i am facing server issue the customer service is not good in response,-0.8092,Negative
2020-03-10,2020-03,review,3.0,i have been using an account as saving in dena bank for past years need to maintain a minimum amount of k if not some charges are applicable many times i visit branches their service is good i am not using mobile app and net banking service yet i get offers message often,0.5739,Positive
2020-03-10,2020-03,HDFC Bank,3.0,i am holding a savings account for my personal need in hdfc bank for more than years there is no hidden charges in this bank need to maintain a minimum balance amount of k in account if not charges are applicable of rupees plus gst i am using net banking and it is user friendly to access,-0.296,Negative
2020-03-10,2020-03,review,5.0,i am holding saving account from corporation bank past years need to maintain a minimum balance of rupees if not some charge would be applicable atm and branches service are good i do get alert message on time for each transaction but there are not sending any offers message,0.3716,Positive
2020-03-10,2020-03,Kotak,4.0,recently i opened a saving account from kotak bank on last december and i need to maintain a minimum amount of k it is online saving account with nominal charges of atm and branchs are near from my home so far i got times offer messages from their end,-0.2732,Negative
2020-03-10,2020-03,Axis Bank,5.0,my savings account was chosen in axis bank and i have opened the account in the year of it was my previous company salary account after that i have converted into savings account its a zero balance account to use branch response was good and the staffs are very helpful i find the branches and atms in almost all the places,0.7178,Positive
2020-03-10,2020-03,HDFC Bank,4.0,years ago i have opened the salary account from hdfc and it was offered by my company i dont need to maintain any minimum balance its very good use the net banking facility i have visited their branch and the response is good the branch is not that much crowded only drawback is i can do only limited transaction from other bank atm,0.669,Positive
2020-03-10,2020-03,HDFC Bank,4.0,i have opened the salary account about years ago i have never faced any issues till now if i have any questions its a long way of connecting with them and sometimes they used to hung up the call while customer is talking its fine to use the net banking facility and they dont charge me any hidden charges the transactions are smooth,-0.0772,Negative
2020-03-10,2020-03,SBI,4.0,my savings account was opened in sbi last years ago because prime minister modi asked every citizen from india needs to open an account in state bank of india when i was opened the account there is no minimum balance is to be maintained but after years they asked me to hold a minimum balance of rs but they dont deduct any hidden charges,-0.5023,Negative
2020-03-10,2020-03,HDFC Bank,5.0,i maintain my salary account from hdfc past months i got an option to open account from my company the branch is km distance from my home atm service is good really good at their own place i am getting good loans and card offers from their end,0.8271,Positive
2020-03-10,2020-03,SBI,5.0,i am having my saving account for past years since most of my family members opened an account here and service is good so i preferred this bank i need to maintain minimum amount of k if not minimum charge applicable of rupees for months once the branch is quite far from my place i am not getting any offers so far,0.4404,Positive
2020-03-10,2020-03,IDBI,2.0,idbi bank account benefits are not good hence i rarely use this account now my savings account was opened in the year of its a zero balance account to use they dont have any mobile app facility branch response was not that much good when i visit the branch to open the account and lot of hassle was there,-0.2987,Negative
2020-03-10,2020-03,review,5.0,dbs is awesome bank and i never had any complaints from this bank they have done a paperless account opening based on the benefits i have selected this account because the rd interest rates are good in fact i can make the payment directly to the shops and their app is very friendly to use every month i used to get rs if i do maintain a balance of rs and they have their terms and conditions to get a cashbacks,0.9542,Positive
2020-03-10,2020-03,SBI,5.0,when i was doing my studies i have opened the savings account from state bank of india from my college itself they have opened this account because branch is available on my campus i need to maintain a minimum balance of rs the branch response was good when i was visited years before,0.4404,Positive
2020-03-09,2020-03,HDFC Bank,5.0,when i was working in previous company they had opened a salary account from hdfc bank and i maintain it for the past year but suddenly i changed to other company so opened other account for salary i am yet to convert hdfc account into savings as of now this is in active and i didnt come across any hidden charge from this bank,0.5499,Positive
2020-03-09,2020-03,Axis Bank,4.0,axis has provided a chance to open a salary account and i maintain for past months there is no hidden charges in this bank it is a zero balance account i use to get an alert message on time from bank whenever i do a transactions there is no proper follow up because few months before i was applied a loan but no update from their end for further,-0.5346,Negative
2020-03-09,2020-03,review,3.5,iob mobile app is not much user friendly to access and its not up to the mark i am holding this account for more than years before it was salary account since changed to other company so converted this account in to saving atm charges applicable of rupees on months once and transaction charge is applicable,-0.5759,Negative
2020-03-09,2020-03,Axis Bank,5.0,i have a salary account with axis bank for more than years there is no hidden charges in this bank it is a zero balance account it is easy to access mobile app and net banking i use to get an alert message and mail from bank whenever i do a transactions i use to get card offers only not for any loans,0.2023,Positive
2020-03-08,2020-03,review,5.0,on my personal need i opened a saving account from indian bank which am holding it for past years banker has suggested to open an account and also branch was near to my home need to maintain minimum of rupees if not charges are applicable of to rupees i am using only net banking service,0.2057,Positive
2020-03-08,2020-03,SBI,5.0,i am holding a salary account in sbi for more than years there is no hidden charges in this bank it is a zero balance account i am using net banking and it is user friendly to access i use to get an alert messages from bank whenever i do a transactions i am not getting much offers from this bank,0.2732,Positive
